name,bus,control,p_nom,type,weather_cell_id,subtype
MV_1249_slack,Busbar_mvgd_1249_MV,Slack,0,station,,mv_station
Generator_mvgd_1249_lvgd_214158_solar_roof_mounted_1312637,BusBar_lac_128652,PQ,0.02124,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214158_solar_roof_mounted_1312716,BusBar_lac_128652,PQ,0.02576,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214158_solar_roof_mounted_1312726,BusBar_lac_128652,PQ,0.00495,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214158_solar_roof_mounted_1315554,BusBar_lac_128652,PQ,0.0162,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214158_solar_roof_mounted_1316064,BusBar_lac_128652,PQ,0.00644,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214159_solar_roof_mounted_1310820,BusBar_lac_128652,PQ,0.00504,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214159_solar_roof_mounted_1312720,BusBar_lac_128652,PQ,0.01449,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214159_solar_roof_mounted_1313032,BusBar_lac_128652,PQ,0.007679999999999999,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214159_solar_roof_mounted_1313972,BusBar_lac_128652,PQ,0.00795,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214159_solar_roof_mounted_1314054,BusBar_lac_128652,PQ,0.0056,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214159_solar_roof_mounted_1314055,BusBar_lac_128652,PQ,0.007215,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214159_solar_roof_mounted_1315114,BusBar_lac_128652,PQ,0.0259,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214159_solar_roof_mounted_1315177,BusBar_lac_128652,PQ,0.00945,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214159_solar_roof_mounted_1315413,BusBar_lac_128652,PQ,0.02952,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214159_solar_roof_mounted_1316049,BusBar_lac_128652,PQ,0.0096,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214159_solar_roof_mounted_1316165,BusBar_lac_128652,PQ,0.00714,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214160_solar_roof_mounted_1312353,BusBar_lac_128652,PQ,0.0018,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214160_solar_roof_mounted_1312672,BusBar_lac_128652,PQ,0.0147,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214160_solar_roof_mounted_1312749,BusBar_lac_128652,PQ,0.008400000000000001,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214160_solar_roof_mounted_1314851,BusBar_lac_128652,PQ,0.029725,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214160_solar_roof_mounted_1315866,BusBar_lac_128652,PQ,0.00319,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214160_solar_roof_mounted_1316160,BusBar_lac_128652,PQ,0.005144999999999999,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214161_solar_roof_mounted_1310718,BusBar_lac_128652,PQ,0.029920000000000002,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214161_solar_roof_mounted_1310894,BusBar_lac_128652,PQ,0.00684,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214161_solar_roof_mounted_1312381,BusBar_lac_128652,PQ,0.00594,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214161_solar_roof_mounted_1313773,BusBar_lac_128652,PQ,0.02652,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214161_solar_roof_mounted_1314791,BusBar_lac_128652,PQ,0.0024,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214161_solar_roof_mounted_1315105,BusBar_lac_128652,PQ,0.02975,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214161_solar_roof_mounted_1315126,BusBar_lac_128652,PQ,0.01638,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214161_solar_roof_mounted_1315845,BusBar_lac_128652,PQ,0.00714,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214162_solar_roof_mounted_1312711,BusBar_lac_128652,PQ,0.00552,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214162_solar_roof_mounted_1313031,BusBar_lac_128652,PQ,0.00546,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214162_solar_roof_mounted_1313661,BusBar_lac_128652,PQ,0.01365,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214162_solar_roof_mounted_1313709,BusBar_lac_128652,PQ,0.0032400000000000003,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214162_solar_roof_mounted_1313856,BusBar_lac_128652,PQ,0.02745,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214162_solar_roof_mounted_1315277,BusBar_lac_128652,PQ,0.02997,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214162_solar_roof_mounted_1315430,BusBar_lac_128652,PQ,0.02988,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214162_solar_roof_mounted_1315462,BusBar_lac_128652,PQ,0.0095,solar,1122093,solar_roof_mounted
Generator_mvgd_1249_lvgd_214162_solar_roof_mounted_1315863,BusBar_lac_128652,PQ,0.01008,solar,1122093,solar_roof_mounted
